hid,pid,activity_number,activity_type,detailed_activity,start_time,duration,mode,driver_flag,passenger_flag,month,day,survey_id
2214223,5606501,0,1,1,0,24900,-1,-1,-1,3,1,10524
2214223,5606501,1,0,0,24900,300,3,1,2,10,2,4298
2214223,5606501,2,4,13,25200,600,-1,-1,-1,10,2,4298
2214223,5606501,3,0,0,25800,720,3,1,2,10,2,4298
2214223,5606501,4,2,3,26520,16080,-1,-1,-1,10,2,4298
2214223,5606501,5,0,0,42600,600,3,1,2,10,2,4298
2214223,5606501,6,4,17,43200,1800,-1,-1,-1,10,2,4298
2214223,5606501,7,0,0,45000,1200,3,1,2,10,2,4298
2214223,5606501,8,4,13,46200,1200,-1,-1,-1,10,2,4298
2214223,5606501,9,0,0,47400,300,3,1,2,10,2,4298
2214223,5606501,10,1,1,47700,53100,-1,-1,-1,10,2,4298
2214223,5606501,11,1,1,100800,9000,-1,-1,-1,3,4,57178
2214223,5606501,12,0,0,109800,1800,3,1,2,3,4,57178
2214223,5606501,13,2,3,111600,43200,-1,-1,-1,3,4,57178
2214223,5606501,14,0,0,154800,3600,3,1,2,3,4,57178
2214223,5606501,15,1,1,158400,28800,-1,-1,-1,3,4,57178
2214223,5606501,16,1,1,187200,9000,-1,-1,-1,3,4,57178
2214223,5606501,17,0,0,196200,1800,3,1,2,3,4,57178
2214223,5606501,18,2,3,198000,43200,-1,-1,-1,3,4,57178
2214223,5606501,19,0,0,241200,3600,3,1,2,3,4,57178
2214223,5606501,20,1,1,244800,28800,-1,-1,-1,3,4,57178
2214223,5606501,21,1,1,273600,9000,-1,-1,-1,3,4,57178
2214223,5606501,22,0,0,282600,1800,3,1,2,3,4,57178
2214223,5606501,23,2,3,284400,43200,-1,-1,-1,3,4,57178
2214223,5606501,24,0,0,327600,3600,3,1,2,3,4,57178
2214223,5606501,25,1,1,331200,28800,-1,-1,-1,3,4,57178
2214223,5606501,26,1,2,360000,17400,-1,-1,-1,8,6,7022
2214223,5606501,27,0,0,377400,600,3,1,2,8,6,7022
2214223,5606501,28,4,6,378000,300,-1,-1,-1,8,6,7022
2214223,5606501,29,0,0,378300,600,3,1,2,8,6,7022
2214223,5606501,30,1,2,378900,5700,-1,-1,-1,8,6,7022
2214223,5606501,31,0,0,384600,600,3,1,2,8,6,7022
2214223,5606501,32,4,6,385200,600,-1,-1,-1,8,6,7022
2214223,5606501,33,0,0,385800,600,3,1,2,8,6,7022
2214223,5606501,34,4,6,386400,600,-1,-1,-1,8,6,7022
2214223,5606501,35,0,0,387000,1500,3,1,2,8,6,7022
2214223,5606501,36,4,16,388500,5700,-1,-1,-1,8,6,7022
2214223,5606501,37,0,0,394200,900,3,1,2,8,6,7022
2214223,5606501,38,1,2,395100,11700,-1,-1,-1,8,6,7022
2214223,5606501,39,0,0,406800,600,3,1,2,8,6,7022
2214223,5606501,40,4,6,407400,1200,-1,-1,-1,8,6,7022
2214223,5606501,41,0,0,408600,1800,3,1,2,8,6,7022
2214223,5606501,42,3,11,410400,2700,-1,-1,-1,8,6,7022
2214223,5606501,43,0,0,413100,1200,3,1,2,8,6,7022
2214223,5606501,44,1,1,414300,32100,-1,-1,-1,8,6,7022
2214223,5606501,45,1,1,446400,25500,-1,-1,-1,8,7,370
2214223,5606501,46,0,0,471900,2100,3,1,2,8,7,370
2214223,5606501,47,3,11,474000,1500,-1,-1,-1,8,7,370
2214223,5606501,48,0,0,475500,300,3,1,2,8,7,370
2214223,5606501,49,4,13,475800,3000,-1,-1,-1,8,7,370
2214223,5606501,50,0,0,478800,2100,3,1,2,8,7,370
2214223,5606501,51,1,1,480900,600,-1,-1,-1,8,7,370
2214223,5606501,52,0,0,481500,600,3,1,2,8,7,370
2214223,5606501,53,3,11,482100,2100,-1,-1,-1,8,7,370
2214223,5606501,54,0,0,484200,300,3,1,2,8,7,370
2214223,5606501,55,1,1,484500,48300,-1,-1,-1,8,7,370
2214223,5606501,56,1,1,532800,72000,-1,-1,-1,3,1,10524
2214223,5606502,0,1,1,0,48900,-1,-1,-1,3,1,10524
2214223,5606502,1,0,0,48900,900,4,1,2,10,2,4299
2214223,5606502,2,2,3,49800,29700,-1,-1,-1,10,2,4299
2214223,5606502,3,0,0,79500,900,4,1,2,10,2,4299
2214223,5606502,4,1,1,80400,20400,-1,-1,-1,10,2,4299
2214223,5606502,5,1,1,100800,10800,-1,-1,-1,3,4,57177
2214223,5606502,6,0,0,111600,1800,4,1,2,3,4,57177
2214223,5606502,7,2,3,113400,30600,-1,-1,-1,3,4,57177
2214223,5606502,8,0,0,144000,1800,4,1,2,3,4,57177
2214223,5606502,9,1,1,145800,41400,-1,-1,-1,3,4,57177
2214223,5606502,10,1,1,187200,10800,-1,-1,-1,3,4,57177
2214223,5606502,11,0,0,198000,1800,4,1,2,3,4,57177
2214223,5606502,12,2,3,199800,30600,-1,-1,-1,3,4,57177
2214223,5606502,13,0,0,230400,1800,4,1,2,3,4,57177
2214223,5606502,14,1,1,232200,41400,-1,-1,-1,3,4,57177
2214223,5606502,15,1,1,273600,10800,-1,-1,-1,3,4,57177
2214223,5606502,16,0,0,284400,1800,4,1,2,3,4,57177
2214223,5606502,17,2,3,286200,30600,-1,-1,-1,3,4,57177
2214223,5606502,18,0,0,316800,1800,4,1,2,3,4,57177
2214223,5606502,19,1,1,318600,41400,-1,-1,-1,3,4,57177
2214223,5606502,20,1,2,360000,17400,-1,-1,-1,8,6,7022
2214223,5606502,21,0,0,377400,600,3,1,2,8,6,7022
2214223,5606502,22,4,6,378000,300,-1,-1,-1,8,6,7022
2214223,5606502,23,0,0,378300,600,3,1,2,8,6,7022
2214223,5606502,24,1,2,378900,5700,-1,-1,-1,8,6,7022
2214223,5606502,25,0,0,384600,600,3,1,2,8,6,7022
2214223,5606502,26,4,6,385200,600,-1,-1,-1,8,6,7022
2214223,5606502,27,0,0,385800,600,3,1,2,8,6,7022
2214223,5606502,28,4,6,386400,600,-1,-1,-1,8,6,7022
2214223,5606502,29,0,0,387000,1500,3,1,2,8,6,7022
2214223,5606502,30,4,16,388500,5700,-1,-1,-1,8,6,7022
2214223,5606502,31,0,0,394200,900,3,1,2,8,6,7022
2214223,5606502,32,1,2,395100,11700,-1,-1,-1,8,6,7022
2214223,5606502,33,0,0,406800,600,3,1,2,8,6,7022
2214223,5606502,34,4,6,407400,1200,-1,-1,-1,8,6,7022
2214223,5606502,35,0,0,408600,1800,3,1,2,8,6,7022
2214223,5606502,36,3,11,410400,2700,-1,-1,-1,8,6,7022
2214223,5606502,37,0,0,413100,1200,3,1,2,8,6,7022
2214223,5606502,38,1,1,414300,32100,-1,-1,-1,8,6,7022
2214223,5606502,39,1,1,446400,25500,-1,-1,-1,8,7,370
2214223,5606502,40,0,0,471900,2100,3,1,2,8,7,370
2214223,5606502,41,3,11,474000,1500,-1,-1,-1,8,7,370
2214223,5606502,42,0,0,475500,300,3,1,2,8,7,370
2214223,5606502,43,4,13,475800,3000,-1,-1,-1,8,7,370
2214223,5606502,44,0,0,478800,2100,3,1,2,8,7,370
2214223,5606502,45,1,1,480900,600,-1,-1,-1,8,7,370
2214223,5606502,46,0,0,481500,600,3,1,2,8,7,370
2214223,5606502,47,3,11,482100,2100,-1,-1,-1,8,7,370
2214223,5606502,48,0,0,484200,300,3,1,2,8,7,370
2214223,5606502,49,1,1,484500,48300,-1,-1,-1,8,7,370
2214223,5606502,50,1,1,532800,72000,-1,-1,-1,3,1,10524
